Gene symbol	No-Peptide-24h	10uM-K99A-24h	100uM-K99A-24h	0-1uM-PCC-24h	10uM-PCC-24h
Junb	139.1535	235.887	294.13	256.296	278.04900000000004
Nhlrc1	0.5845	1.2105	2.2435	3.173	2.428
I830012O16Rik	1.2455	0.14300000000000002	0.7605	0.871	0.35100000000000003
Crybb2	0.0	0.0	0.0	0.0	0.0
Olfr288	0.0	0.0	0.0095	0.0	0.0
Cpt1b	2.0975	1.7505	1.6885	2.0265	2.033
Serpinb5	0.01	0.0	0.0	0.0	0.0
Vmn1r217	0.0	0.0	0.0	0.0	0.0
Hbb-bh2	0.0	0.0	0.0	0.0	0.0
Fbxw11	17.380499999999998	20.866	24.9405	24.7855	30.7755
Slc39a11	5.4625	6.2835	7.8565	9.667000000000002	9.2235
Zfp874a	4.9865	6.7765	8.515	8.23	7.526499999999999
Neu4	0.022	0.013500000000000002	0.009000000000000001	0.0045000000000000005	0.004
Ctdspl2	6.803	8.7855	8.737	8.677000000000001	8.024000000000001
Tmod4	0.8420000000000001	0.544	0.642	0.638	0.3995
Vmn1r232	0.0	0.0	0.0	0.0	0.0
Zfp428	0.9705	3.6935	4.7105000000000015	6.457999999999999	4.7545
Zfp287	3.8939999999999997	2.336	1.2665	1.3975	1.037
Tlr2	31.0615	15.4715	10.2525	7.637499999999998	3.909
Fkbp9	0.4805	0.22899999999999998	0.45299999999999996	0.31799999999999995	0.2085
Vrtn	0.0	0.0	0.0255	0.0	0.0
Gga1	31.343000000000004	29.873	31.197	30.0855	29.7685
Mapk12	2.983	1.1985	0.504	0.5585	0.4375
Gm13271	0.28350000000000003	0.5315	0.1915	0.172	0.117
Ush1g	0.0	0.0	0.0	0.0	0.0
Trrap	22.726999999999997	20.941999999999997	18.434	18.7185	18.491
Cenpc1	4.5615000000000006	9.413	10.691	10.8925	10.017999999999999
Olfr294	0.0	0.0	0.0	0.0	0.0
Mfap5	0.0705	0.0	0.0	0.0	0.0
Mybphl	0.0585	0.098	0.0	0.0	0.0
Atg16l1	11.232000000000001	13.895499999999998	15.16	15.1385	16.122500000000002
Efcab1	0.4385	0.0	0.0	0.0	0.0
Bola3	12.4095	19.7655	36.6225	33.1595	38.2835
Mpl	0.919	0.5425	0.4955000000000001	0.5185000000000001	0.7140000000000001
Ntm	0.0	0.0	0.0	0.0115	0.0
Foxred2	5.3195	4.3855	5.12	6.5335	6.048499999999999
Eaf2	0.72	0.7689999999999999	0.5419999999999999	0.5429999999999999	0.311
Coq4	3.9335	3.8515	6.461500000000001	8.08	8.052000000000001
Mylk4	0.0	0.0035	0.014	0.0	0.0
Lgi1	0.0	0.0	0.0	0.0	0.0
