gene symbol	pc1	mouse_spleen_and_lymph_nodes_th0_cells	mouse_spleen_and_lymph_nodes_th17_cells	mouse_spleen_and_lymph_nodes_exfoxp3th17_cells	mouse_spleen_and_lymph_nodestreg_cells
h2-aa	-0.004423735254719109	0.47129650000000023	-3.2473395	-2.6996835	5.4757264999999995
h2-aa	-0.004423735254719109	0.03301900000000002	-0.01041599999999998	0.022615000000000024	-0.045217999999999994
h2-aa	-0.004423735254719109	1.705895	-1.7227449999999997	-2.5680249999999996	2.5848750000000003
h2-ea-ps	-0.003167265759112971	0.5373774999999998	0.46518749999999986	1.1164175000000016	-2.1189825
hdgf	0.010055639781464431	180.7605000000001	-24.47849999999994	-255.80349999999993	99.52150000000006
hdgf	0.010055639781464431	135.34675000000016	0.8457499999999527	-220.42725000000002	84.23474999999985
hdgf	0.010055639781464431	8.8417	-6.133299999999998	-4.1206	1.4121999999999986
hexa	-0.003678917916268205	100.39575000000002	-77.96224999999998	-15.14224999999999	-7.291249999999991
hif1a	0.0045880849778425535	-530.9547500000001	631.3032499999999	-104.74475000000007	4.396250000000123
hif1a	0.0045880849778425535	-1533.6699999999996	1404.42	-118.76999999999953	248.02000000000044
hif1a	0.0045880849778425535	-1.9715274999999988	10.0458225	-7.4410574999999985	-0.6332374999999999
hif1a	0.0045880849778425535	-75.258575	97.520625	-22.999274999999997	0.7372249999999951
hint1	0.004651666904257074	987.2300000000005	-429.9399999999996	-999.06	441.77000000000044
hint1	0.004651666904257074	484.1550000000002	-286.33500000000004	-687.9749999999999	490.1550000000002
hk3	-0.0028582411778455977	7.5240625	-2.4816775	-2.1282375	-2.9141475
hk3	-0.0028582411778455977	6.038562499999999	-8.420187499999999	1.597362500000001	0.7842625000000005
hltf	0.007857514611925158	5.696075	-4.479125000000003	1.5695750000000004	-2.7865249999999975
hltf	0.007857514611925158	-9.13575000000003	-38.898749999999836	81.3732500000001	-33.338749999999834
